Component,Arxiu,Linia,ID,Classes CSS,Num Fills,Nivell de Sospita (Basura?)
App.jsx,src/App.jsx,180,,,6,Contenidor simple sense classes/id
App.jsx,src/App.jsx,182,,,2,Contenidor simple sense classes/id
App.jsx,src/App.jsx,184,,,1,Wrapper Innecessari (1 fill, sense classes)
App.jsx,src/App.jsx,187,,,2,Contenidor simple sense classes/id
App.jsx,src/App.jsx,204,,,2,Contenidor simple sense classes/id
App.jsx,src/App.jsx,205,,,2,Contenidor simple sense classes/id
App.jsx,src/App.jsx,206,,,2,Contenidor simple sense classes/id
App.jsx,src/App.jsx,232,,,1,Wrapper Innecessari (1 fill, sense classes)
AppRouter.jsx,src/AppRouter.jsx,7,,p-4,1,
AppRouter.jsx,src/AppRouter.jsx,8,,p-4,1,
AppRouter.jsx,src/AppRouter.jsx,9,,p-4,1,
AppRouter.jsx,src/AppRouter.jsx,10,,p-4,2,
AppRouter.jsx,src/AppRouter.jsx,11,,p-4,1,
AppRouter.jsx,src/AppRouter.jsx,12,,p-4,1,
AppShell.jsx,src/AppShell.jsx,6,,bg-orange-600 text-white p-2 text-center text-sm font-bold tracking-widest z-10,1,
AppShell.jsx,src/AppShell.jsx,10,,min-h-screen flex flex-col bg-slate-100 text-slate-900 relative overflow-hidden,4,
AppShell.jsx,src/AppShell.jsx,13,,flex flex-1 overflow-hidden relative z-0,6,
AppShell.jsx,src/AppShell.jsx,22,,max-w-5xl mx-auto h-full,2,
AppShell.jsx,src/AppShell.jsx,29,,p-4 font-semibold text-slate-700,1,
AppShell.jsx,src/AppShell.jsx,34,orchestra,absolute inset-0 pointer-events-none z-50,0,DIV Buit (Sense contingut)
AppLayout.test.jsx,src/__tests__/accessibility/AppLayout.test.jsx,15,,,1,Wrapper Innecessari (1 fill, sense classes)
AppLayout.test.jsx,src/__tests__/accessibility/AppLayout.test.jsx,26,,,1,Wrapper Innecessari (1 fill, sense classes)
AppShell.test.jsx,src/__tests__/accessibility/AppShell.test.jsx,16,,,1,Wrapper Innecessari (1 fill, sense classes)
AppShell.test.jsx,src/__tests__/accessibility/AppShell.test.jsx,27,,,1,Wrapper Innecessari (1 fill, sense classes)
AppShell.integration.test.jsx,src/__tests__/integration/AppShell.integration.test.jsx,27,,,1,Wrapper Innecessari (1 fill, sense classes)
AppSkeleton.jsx,src/app/AppSkeleton.jsx,10,app-skeleton,,6,
AppSkeleton.jsx,src/app/AppSkeleton.jsx,12,,,0,DIV Buit (Sense contingut)
AppSkeleton.jsx,src/app/AppSkeleton.jsx,13,,,0,DIV Buit (Sense contingut)
AppSkeleton.jsx,src/app/AppSkeleton.jsx,14,,,0,DIV Buit (Sense contingut)
AppSkeleton.jsx,src/app/AppSkeleton.jsx,17,,,1,Wrapper Innecessari (1 fill, sense classes)
AppSkeleton.jsx,src/app/AppSkeleton.jsx,25,,skeleton-card,0,DIV Buit (Sense contingut)
Masia.jsx,src/app/Masia.jsx,11,,,2,Contenidor simple sense classes/id
Masia.jsx,src/app/Masia.jsx,23,,masia-contenidor,4,
Masia.jsx,src/app/Masia.jsx,27,,estat-connexio,1,
SystemGuardian.jsx,src/app/SystemGuardian.jsx,62,,avisador-efímer trellat-entrar,2,
BrasaButton.jsx,src/components/BrasaButton.jsx,40,,inline-block group,1,
