Component,Arxiu,Linia,Patró Estructural,Sospitós?,Num Fills,Classes CSS
App.jsx,src/App.jsx,180,Contenidor Mixt,No,6,
App.jsx,src/App.jsx,182,Contenidor Mixt,No,2,
App.jsx,src/App.jsx,184,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
App.jsx,src/App.jsx,187,Contenidor Mixt,No,2,
App.jsx,src/App.jsx,204,Contenidor Mixt,No,2,
App.jsx,src/App.jsx,205,Contenidor Mixt,No,2,
App.jsx,src/App.jsx,206,Contenidor Mixt,No,2,
App.jsx,src/App.jsx,232,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
AppRouter.jsx,src/AppRouter.jsx,7,Contenidor de Text Pura,No,1,p-4
AppRouter.jsx,src/AppRouter.jsx,8,Contenidor de Text Pura,No,1,p-4
AppRouter.jsx,src/AppRouter.jsx,9,Contenidor de Text Pura,No,1,p-4
AppRouter.jsx,src/AppRouter.jsx,10,Contenidor Mixt,No,2,p-4
AppRouter.jsx,src/AppRouter.jsx,11,Contenidor de Text Pura,No,1,p-4
AppRouter.jsx,src/AppRouter.jsx,12,Contenidor de Text Pura,No,1,p-4
AppShell.jsx,src/AppShell.jsx,6,Contenidor de Text Pura,No,1,bg-orange-600 text-white p-2 text-center text-sm font-bold tracking-widest z-10
AppShell.jsx,src/AppShell.jsx,10,Contenidor Mixt,No,4,min-h-screen flex flex-col bg-slate-100 text-slate-900 relative overflow-hidden
AppShell.jsx,src/AppShell.jsx,13,Contenidor Mixt,No,6,flex flex-1 overflow-hidden relative z-0
AppShell.jsx,src/AppShell.jsx,22,Contenidor Mixt,No,2,max-w-5xl mx-auto h-full
AppShell.jsx,src/AppShell.jsx,29,Contenidor de Text Pura,No,1,p-4 font-semibold text-slate-700
AppShell.jsx,src/AppShell.jsx,34,BUIT (Possible Basura),No,0,absolute inset-0 pointer-events-none z-50
AppLayout.test.jsx,src/__tests__/accessibility/AppLayout.test.jsx,15,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
AppLayout.test.jsx,src/__tests__/accessibility/AppLayout.test.jsx,26,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
AppShell.test.jsx,src/__tests__/accessibility/AppShell.test.jsx,16,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
AppShell.test.jsx,src/__tests__/accessibility/AppShell.test.jsx,27,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
AppShell.integration.test.jsx,src/__tests__/integration/AppShell.integration.test.jsx,27,Contenidor de Text Pura,SÍ: Wrapper inútil sense estils,1,
AppSkeleton.jsx,src/app/AppSkeleton.jsx,10,Contenidor Mixt,No,6,
AppSkeleton.jsx,src/app/AppSkeleton.jsx,12,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
AppSkeleton.jsx,src/app/AppSkeleton.jsx,13,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
AppSkeleton.jsx,src/app/AppSkeleton.jsx,14,BUIT (Possible Basura),SÍ: Buit i sense classes,0,
