Component,Arxiu,Tag,Linia,Chivatos,Num Fills,Atributs Extra,Classes CSS
App.jsx,src/App.jsx,div,180,OK,13,style,
App.jsx,src/App.jsx,header,181,OK,5,style,
App.jsx,src/App.jsx,div,182,OK,5,,
App.jsx,src/App.jsx,h1,183,OK,1,style,
App.jsx,src/App.jsx,div,184,OK,1,style,
App.jsx,src/App.jsx,div,187,OK,5,style,
App.jsx,src/App.jsx,button,188,OK,3,onClick disabled style title,
App.jsx,src/App.jsx,div,204,OK,5,style,
App.jsx,src/App.jsx,div,205,OK,3,,
App.jsx,src/App.jsx,strong,205,OK,1,,
App.jsx,src/App.jsx,div,206,OK,3,,
App.jsx,src/App.jsx,strong,206,OK,1,,
App.jsx,src/App.jsx,main,211,OK,9,style,
App.jsx,src/App.jsx,section,213,OK,5,,
App.jsx,src/App.jsx,h2,214,OK,1,style,
App.jsx,src/App.jsx,p,215,OK,1,,
App.jsx,src/App.jsx,section,219,OK,5,style,
App.jsx,src/App.jsx,h3,220,OK,1,style,
App.jsx,src/App.jsx,pre,221,OK,3,style,
App.jsx,src/App.jsx,PwaUpdater,228,OK,0,registration,
App.jsx,src/App.jsx,VisorNano,229,FANTASMA_BUIT,0,,
App.jsx,src/App.jsx,footer,231,OK,3,style,
App.jsx,src/App.jsx,div,232,WRAPPER_INUTIL,1,,
AppRouter.jsx,src/AppRouter.jsx,div,7,OK,1,,p-4
AppRouter.jsx,src/AppRouter.jsx,div,8,OK,1,,p-4
AppRouter.jsx,src/AppRouter.jsx,div,9,OK,1,,p-4
AppRouter.jsx,src/AppRouter.jsx,div,10,OK,2,,p-4
AppRouter.jsx,src/AppRouter.jsx,div,11,OK,1,,p-4
AppRouter.jsx,src/AppRouter.jsx,div,12,OK,1,,p-4
AppRouter.jsx,src/AppRouter.jsx,Routes,16,OK,3,,
AppRouter.jsx,src/AppRouter.jsx,Route,17,OK,21,path element,
AppRouter.jsx,src/AppRouter.jsx,AppShell,17,FANTASMA_BUIT,0,,
AppRouter.jsx,src/AppRouter.jsx,Route,19,OK,0,index element,
AppRouter.jsx,src/AppRouter.jsx,Navigate,19,OK,0,to replace,
AppRouter.jsx,src/AppRouter.jsx,Route,21,OK,0,path element,
AppRouter.jsx,src/AppRouter.jsx,MurFeed,21,FANTASMA_BUIT,0,,
AppRouter.jsx,src/AppRouter.jsx,Route,22,OK,0,path element,
AppRouter.jsx,src/AppRouter.jsx,Mercat,22,FANTASMA_BUIT,0,,
AppRouter.jsx,src/AppRouter.jsx,Route,23,OK,0,path element,
AppRouter.jsx,src/AppRouter.jsx,XatGlobal,23,FANTASMA_BUIT,0,,
AppRouter.jsx,src/AppRouter.jsx,Route,26,OK,5,path element,
AppRouter.jsx,src/AppRouter.jsx,AdminGuard,26,FANTASMA_BUIT,0,,
AppRouter.jsx,src/AppRouter.jsx,Route,27,OK,0,path element,
AppRouter.jsx,src/AppRouter.jsx,Moderacio,27,FANTASMA_BUIT,0,,
AppRouter.jsx,src/AppRouter.jsx,Route,28,OK,0,path element,
AppRouter.jsx,src/AppRouter.jsx,ConfigMas,28,FANTASMA_BUIT,0,,
AppShell.jsx,src/AppShell.jsx,div,6,OK,1,,bg-orange-600 text-white p-2 text-center text-sm font-bold tracking-widest z-10
AppShell.jsx,src/AppShell.jsx,div,10,OK,9,,min-h-screen flex flex-col bg-slate-100 text-slate-900 relative overflow-hidden
AppShell.jsx,src/AppShell.jsx,BrandBar,11,FANTASMA_BUIT,0,,
AppShell.jsx,src/AppShell.jsx,div,13,OK,13,,flex flex-1 overflow-hidden relative z-0
AppShell.jsx,src/AppShell.jsx,NavigationRail,15,FANTASMA_BUIT,0,,
AppShell.jsx,src/AppShell.jsx,main,18,OK,3,,flex-1 overflow-auto bg-slate-50 pt-6 px-4 md:px-8 pb-20 focus:outline-none relative z-10 shadow-inner
AppShell.jsx,src/AppShell.jsx,div,22,OK,5,,max-w-5xl mx-auto h-full
AppShell.jsx,src/AppShell.jsx,Outlet,23,FANTASMA_BUIT,0,,
AppShell.jsx,src/AppShell.jsx,aside,28,OK,3,,hidden xl:block w-80 border-l border-orange-500/20 bg-white/70 overflow-auto z-10
AppShell.jsx,src/AppShell.jsx,div,29,OK,1,,p-4 font-semibold text-slate-700
AppShell.jsx,src/AppShell.jsx,div,34,OK,0,,absolute inset-0 pointer-events-none z-50
AppLayout.test.jsx,src/__tests__/accessibility/AppLayout.test.jsx,AppLayout,14,OK,3,routeService authAdapter themeAdapter,
AppLayout.test.jsx,src/__tests__/accessibility/AppLayout.test.jsx,div,15,OK,1,data-testid style,
AppLayout.test.jsx,src/__tests__/accessibility/AppLayout.test.jsx,AppLayout,25,OK,3,routeService authAdapter themeAdapter,
AppLayout.test.jsx,src/__tests__/accessibility/AppLayout.test.jsx,div,26,OK,1,data-testid style,
AppShell.test.jsx,src/__tests__/accessibility/AppShell.test.jsx,AppShell,15,OK,3,authProps navProps themeProps routeService,
AppShell.test.jsx,src/__tests__/accessibility/AppShell.test.jsx,div,16,WRAPPER_INUTIL,1,,
AppShell.test.jsx,src/__tests__/accessibility/AppShell.test.jsx,AppShell,26,OK,3,authProps navProps themeProps routeService,
AppShell.test.jsx,src/__tests__/accessibility/AppShell.test.jsx,div,27,WRAPPER_INUTIL,1,,
AppShell.test.jsx,src/__tests__/components/AppShell.test.jsx,AppShell,14,OK,0,onAction,
AppShell.test.jsx,src/__tests__/components/AppShell.test.jsx,AppShell,22,OK,0,onAction,
AppShell.test.jsx,src/__tests__/components/AppShell.test.jsx,AppShell,30,OK,0,onAction,
Bars.test.jsx,src/__tests__/components/Bars.test.jsx,BrandBar,19,FANTASMA_BUIT,0,,
Bars.test.jsx,src/__tests__/components/Bars.test.jsx,ActionBar,20,FANTASMA_BUIT,0,,
UniversalHeader.test.jsx,src/__tests__/components/UniversalHeader.test.jsx,button,6,OK,1,onClick,
UniversalHeader.test.jsx,src/__tests__/components/UniversalHeader.test.jsx,UniversalHeader,15,FANTASMA_BUIT,0,,
UniversalHeader.test.jsx,src/__tests__/components/UniversalHeader.test.jsx,UniversalHeader,22,FANTASMA_BUIT,0,,
AppShell.integration.test.jsx,src/__tests__/integration/AppShell.integration.test.jsx,BrowserRouter,25,OK,3,,
AppShell.integration.test.jsx,src/__tests__/integration/AppShell.integration.test.jsx,AppLayout,26,OK,3,,
AppShell.integration.test.jsx,src/__tests__/integration/AppShell.integration.test.jsx,div,27,OK,1,data-testid,
