Component;Path;Div Count;Ghosts Detected;Action Priority
UniversalPageLayout;components/layout/UniversalPageLayout.jsx;8;bootstrapLegacy (1x) | universalPageLayout (1x) | hardcodedColors (1x) | dangerousScroll (2x);CRÍTICA
LegalManifest;pages/public/LegalManifest.jsx;7;ghostVariables (13x) | bootstrapLegacy (3x) | divSoup (1x) | universalPageLayout (1x) | dangerousScroll (1x);CRÍTICA
MercatPage;pages/MercatPage.jsx;1;universalPageLayout (4x);CRÍTICA
MurPage;pages/MurPage.jsx;1;universalPageLayout (4x);CRÍTICA
ConstitucioPage;pages/public/ConstitucioPage.jsx;1;universalPageLayout (4x);CRÍTICA
ProjectePage;pages/ProjectePage.jsx;0;bootstrapLegacy (1x) | universalPageLayout (4x);CRÍTICA
DesignSystem_original;pages/features/DesignSystem_original.jsx;297;bootstrapLegacy (10x) | divSoup (77x) | hardcodedColors (13x) | dangerousScroll (24x);Mitja
AdminPanel;pages/admin/AdminPanel.jsx;96;bootstrapLegacy (1x) | divSoup (13x) | dangerousScroll (2x);Mitja
UniversalGentDePoble;components/profile/UniversalGentDePoble.jsx;57;bootstrapLegacy (20x) | divSoup (11x) | hardcodedColors (14x) | dangerousScroll (8x);Mitja
ProfileSettingsModal;components/modals/ProfileSettingsModal.jsx;51;bootstrapLegacy (1x) | divSoup (10x) | hardcodedColors (3x) | dangerousScroll (3x);Mitja
EntityProfile;components/profile/EntityProfile.jsx;50;bootstrapLegacy (18x) | divSoup (9x) | hardcodedColors (12x) | dangerousScroll (8x);Mitja
UniversalAjuntament;components/profile/UniversalAjuntament.jsx;49;bootstrapLegacy (17x) | divSoup (9x) | hardcodedColors (12x) | dangerousScroll (8x);Mitja
Register;pages/auth/Register.jsx;47;bootstrapLegacy (4x) | divSoup (10x) | hardcodedColors (2x) | dangerousScroll (4x);Mitja
CercaPage;pages/features/CercaPage.jsx;47;bootstrapLegacy (4x) | divSoup (3x) | dangerousScroll (5x);Mitja
GenesisViewer;pages/admin/GenesisViewer.jsx;40;divSoup (9x);Mitja
TimelineGraphic;components/TimelineGraphic.jsx;38;divSoup (9x);Mitja
BuscadorAjudes;pages/features/BuscadorAjudes.jsx;38;divSoup (8x);Mitja
SolatgeConsole;pages/admin/SolatgeConsole.jsx;35;divSoup (5x);Mitja
NexusFlash;pages/admin/NexusFlash.jsx;33;divSoup (6x);Mitja
IAIAChatSidebar;components/features/IAIAChatSidebar.jsx;30;bootstrapLegacy (1x) | divSoup (3x) | hardcodedColors (3x) | dangerousScroll (3x);Mitja
ChatManager;pages/admin/ChatManager.jsx;29;bootstrapLegacy (3x) | divSoup (6x) | hardcodedColors (18x) | dangerousScroll (4x);Mitja
RecuperacioDelMas;components/RecuperacioDelMas.jsx;28;divSoup (3x);Mitja
ProfilePowerMenu;components/ui/ProfilePowerMenu.jsx;28;divSoup (3x);Mitja
Towns;pages/community/Towns.jsx;28;bootstrapLegacy (1x) | divSoup (3x) | hardcodedColors (6x);Mitja
VisionView;pages/features/VisionView.jsx;28;divSoup (7x);Mitja
ResourceDetail;pages/features/ResourceDetail.jsx;26;bootstrapLegacy (2x) | divSoup (7x) | hardcodedColors (1x) | dangerousScroll (2x);Mitja
RoadmapView;pages/public/RoadmapView.jsx;26;bootstrapLegacy (10x) | divSoup (5x) | dangerousScroll (4x);Mitja
CalendarManagerModal;components/modals/CalendarManagerModal.jsx;24;bootstrapLegacy (2x) | divSoup (6x);Mitja
SpriteConsoleExtended;components/SpriteConsoleExtended.jsx;23;divSoup (6x);Mitja
ArchitecteView;components/features/ArchitecteView.jsx;23;bootstrapLegacy (5x) | divSoup (7x) | hardcodedColors (1x);Mitja
ConnectarPage;pages/features/ConnectarPage.jsx;23;bootstrapLegacy (2x) | divSoup (3x) | hardcodedColors (4x) | dangerousScroll (3x);Mitja
TimelineEditor;components/TimelineEditor.jsx;22;divSoup (5x);Mitja
AddItemModal;components/modals/AddItemModal.jsx;22;divSoup (6x);Mitja
MediaViewerModal;components/modals/MediaViewerModal.jsx;22;bootstrapLegacy (1x) | divSoup (1x);Mitja
ProfileStudioModal;components/modals/ProfileStudioModal.jsx;22;bootstrapLegacy (1x) | divSoup (8x) | hardcodedColors (1x);Mitja
UniversalDetail;pages/features/UniversalDetail.jsx;22;bootstrapLegacy (2x) | divSoup (2x) | hardcodedColors (9x) | dangerousScroll (4x);Mitja
NouPost;components/NouPost.jsx;21;divSoup (5x) | dangerousScroll (2x);Mitja
