Element;Type;Classes;Ghosts Detected
div;HTML;flex-1 min-w-[320px] max-w-md w-full bg-sdp-bg-panel border border-sdp-border-master rounded-xl p-4 flex flex-col gap-4 contain-layout;Legacy Background (bg-sdp-bg-panel), Legacy Border (border-sdp-border-master)
div;HTML;flex items-center gap-2 border-b-2 pb-3 mb-1 ${colorClass};None
Icon;Component;N/A;N/A
h2;HTML;text-xl font-bold uppercase m-0 leading-none;None
span;HTML;ml-auto bg-sdp-text-main/10 px-2 py-0.5 rounded-full text-sm font-bold opacity-70;None
div;HTML;flex flex-col gap-3 stable-scroll pb-2 z-token-base;None
div;HTML;universal-card hover:scale-[1.01] transition-transform cursor-default group relative overflow-hidden bg-sdp-bg-app border border-sdp-border-master;Legacy Border (border-sdp-border-master)
div;HTML;absolute top-0 left-0 w-1 h-full bg-sdp-theme-accent-primary opacity-50;None
div;HTML;flex justify-between items-start mb-2;None
span;HTML;text-xs font-black tracking-widest uppercase opacity-60 flex items-center gap-1.5 line-clamp-1;None
Calendar;Component;N/A;N/A
div;HTML;flex bg-sdp-theme-accent-primary/10 px-2 py-1 rounded gap-1 items-center;None
Tag;Component;N/A;N/A
span;HTML;text-xs uppercase font-bold text-sdp-theme-accent-primary text-center line-clamp-1 leading-none;None
div;HTML;flex items-start gap-3 mt-1;None
div;HTML;p-2 bg-sdp-bg-panel rounded-[10px] border border-sdp-border-master shrink-0 mt-0.5 text-sdp-theme-accent-secondary;Legacy Background (bg-sdp-bg-panel), Legacy Border (border-sdp-border-master)
ItemIcon;Component;N/A;N/A
Link;HTML;hover:underline;None
h3;HTML;font-bold text-[1.05rem] leading-tight mb-2 text-sdp-text-main group-data-[active=true]:text-sdp-theme-accent-primary transition-colors;Legacy Text Color (text-sdp-text-main)
p;HTML;text-[13px] opacity-70 leading-snug m-0 text-sdp-text-muted text-pretty;Legacy Text Muted (text-sdp-text-muted)
div;HTML;w-full h-full flex flex-col gap-8 md:gap-14 pb-12 align-top;None
div;HTML;relative w-full flex flex-col md:flex-row gap-4 lg:gap-8 items-start group;None
div;HTML;md:w-32 lg:w-40 shrink-0 sticky top-0 md:top-4 z-10 bg-sdp-bg-panel/95 backdrop-blur-md md:bg-transparent py-2 border-b md:border-b-0 border-sdp-theme-accent-primary md:border-r-4 pr-4;Legacy Background (bg-sdp-bg-panel)
div;HTML;flex p-3 rounded-lg md:rounded-none bg-transparent items-center gap-3;None
div;HTML;w-3 h-3 rounded-full bg-sdp-theme-accent-primary -ml-2 shrink-0 md:block hidden outline outline-4 outline-sdp-bg-panel shadow-md;None
h3;HTML;font-black text-2xl tracking-tighter uppercase flex-1 text-left md:text-right m-0 flex items-center justify-start md:justify-end gap-2;None
Calendar;Component;N/A;N/A
div;HTML;flex-1 grid grid-cols-1 md:grid-cols-2 xl:grid-cols-3 gap-3 md:gap-5 lg:gap-6 mt-1 relativerounded-xl;None
div;HTML;flex flex-col universal-card border-[2px] ${statusColor} hover:scale-[1.02] active:scale-[0.98] transition-transform bg-sdp-bg-panel relative overflow-hidden;Legacy Background (bg-sdp-bg-panel)
div;HTML;absolute top-0 right-0 bg-purple-500 text-white text-[9px] font-black uppercase px-2 py-0.5 rounded-bl-lg tracking-widest z-10 animate-pulse;None
div;HTML;flex items-center gap-3 border-b border-sdp-border-master pb-3;Legacy Border (border-sdp-border-master)
div;HTML;bg-sdp-bg-app p-2.5 rounded-[12px] shrink-0 border border-sdp-border-master;Legacy Border (border-sdp-border-master)
ItemIcon;Component;N/A;N/A
div;HTML;flex-1;None
Link;HTML;hover:underline;None
h4;HTML;font-bold text-[1.1rem] leading-tight m-0 text-sdp-text-main;Legacy Text Color (text-sdp-text-main)
div;HTML;text-xs mt-1.5 font-black text-sdp-theme-accent-secondary uppercase tracking-widest;None
p;HTML;text-[13px] opacity-80 mt-3 flex-1 flex items-start text-sdp-text-muted leading-relaxed font-medium;Legacy Text Muted (text-sdp-text-muted)
div;HTML;mt-4 pt-2 border-t border-sdp-border-master flex gap-2 overflow-hidden flex-wrap max-h-5 sm:max-h-screen;Legacy Border (border-sdp-border-master)
span;HTML;text-[9px] uppercase tracking-wider font-extrabold text-sdp-text-muted line-clamp-1;Legacy Text Muted (text-sdp-text-muted)
div;HTML;w-full max-w-4xl mx-auto pb-12 mt-4 text-sdp-text-main;Legacy Text Color (text-sdp-text-main)
h2;HTML;text-[1.35rem] font-black uppercase tracking-widest mb-4 text-purple-500/90 border-b border-purple-500/20 pb-3 flex items-center gap-2;None
Flame;Component;N/A;N/A
ul;HTML;list-disc pl-6 mb-10 space-y-4;None
Link;HTML;hover:underline;None
h2;HTML;text-[1.35rem] font-black uppercase tracking-widest mb-4 text-green-500/90 border-b border-green-500/20 pb-3 flex items-center gap-2;None
PackageCheck;Component;N/A;N/A
ul;HTML;list-disc pl-6 mb-10 space-y-4;None
Link;HTML;hover:underline;None
h2;HTML;text-[1.35rem] font-black uppercase tracking-widest mb-4 text-blue-500/90 border-b border-blue-500/20 pb-3 flex items-center gap-2;None
Tractor;Component;N/A;N/A
ul;HTML;list-disc pl-6 mb-10 space-y-4;None
Link;HTML;hover:underline;None
h2;HTML;text-[1.35rem] font-black uppercase tracking-widest mb-4 text-orange-500/90 border-b border-orange-500/20 pb-3 flex items-center gap-2;None
Sprout;Component;N/A;N/A
ul;HTML;list-disc pl-6 mb-10 space-y-4;None
Link;HTML;hover:underline;None
UniversalPage;Component;N/A;N/A
div;HTML;flex flex-col xl:flex-row gap-6 md:gap-8 items-start w-full relative overflow-x-auto custom-scrollbar pb-6 px-4 h-full;None
BoardColumn;Component;N/A;N/A
BoardColumn;Component;N/A;N/A
BoardColumn;Component;N/A;N/A
BoardColumn;Component;N/A;N/A
CalendarGanttView;Component;N/A;N/A
div;HTML;mb-8;None
p;HTML;text-base sm:text-lg lg:text-xl font-medium leading-relaxed mt-4 opacity-70 text-sdp-text-main text-pretty;Legacy Text Color (text-sdp-text-main)
span;HTML;text-sdp-theme-accent-primary font-bold;None
ListView;Component;N/A;N/A
