File,Tag,Depth,Classes
MurFeed.jsx,div,0,"text-center py-12 font-medium text-slate-500"
MurFeed.jsx,div,0,"max-w-2xl mx-auto py-8"
MurFeed.jsx,div,1,"mb-10 text-center"
MurFeed.jsx,div,2,"inline-block bg-white p-6 rounded-3xl border-2 border-orange-400 shadow-sm"
MurFeed.jsx,p,3,"text-xl font-medium text-slate-800"
MurFeed.jsx,div,1,"space-y-6"
MurFeed.jsx,UniversalCard,2,""
MurFeed.jsx,div,3,"text-center py-20 border-2 border-dashed border-orange-300 rounded-3xl bg-orange-50/50"
MurFeed.jsx,div,4,"text-6xl mb-6"
MurFeed.jsx,p,4,"text-2xl font-black mb-3 text-slate-800"
MurFeed.jsx,p,4,"text-slate-500"
MurFeed.jsx,div,4,"mt-8 text-sm text-slate-400 italic"
Towns.jsx,div,0,"flex items-center justify-center w-full h-full"
Towns.jsx,MapIcon,1,""
Towns.jsx,img,0,"town-logo-img"
Towns.jsx,div,0,"towns-container"
Towns.jsx,StatusLoader,1,""
Towns.jsx,div,0,"towns-container"
Towns.jsx,StatusLoader,1,""
Towns.jsx,div,0,"flex-1 flex flex-col w-full min-h-0 towns-page-container"
Towns.jsx,SEO,1,""
Towns.jsx,h1,2,"sr-only"
Towns.jsx,div,2,"flex-none w-full z-50 shadow-md bg-theme-base"
Towns.jsx,ContextualHeader,3,""
Towns.jsx,div,3,"flex-none w-full bg-[#FF6D23]/10 dark:bg-[#FF6D23]/15 border-b border-[#FF6D23]/20 px-3 py-2 flex items-center justify-between gap-3 shadow-inner z-40"
Towns.jsx,div,4,"flex items-center gap-2 flex-1 min-w-0 md:max-w-4xl mx-auto"
Towns.jsx,Info,5,"text-[#FF6D23] flex-shrink-0"
Towns.jsx,p,5,"text-[11px] sm:text-xs text-gray-800 dark:text-gray-200 leading-tight md:whitespace-normal mb-0"
Towns.jsx,span,6,"font-black mr-1 hidden sm:inline"
Towns.jsx,a,6,"text-[#FF6D23] hover:underline font-bold"
Towns.jsx,a,6,"text-[#FF6D23] hover:underline font-bold"
Towns.jsx,a,6,"underline"
Towns.jsx,button,4,"flex-shrink-0 text-gray-500 hover:text-[#FF6D23] transition-colors bg-white/50 dark:bg-black/20 rounded-lg p-1 animate-pulse hover:animate-none border border-black/5 dark:border-white/5"
Towns.jsx,X,5,""
Towns.jsx,div,3,"flex-1 overflow-y-scroll custom-scrollbar towns-content-area"
Towns.jsx,UniversalGridWrapper,4,""
Towns.jsx,UniversalGridRow,5,"pb-8"
Towns.jsx,TownLocalEnricher,6,""
Towns.jsx,UniversalCard,7,"town-card animate-in w-full ${isUserTown ? ""ring-2 ring-[var(--theme-accent-primary)] shadow-[0_0_20px_rgba(249,115,22,0.3)]"" : """"}"
Towns.jsx,div,8,"mt-3 mb-1 w-full flex justify-center"
Towns.jsx,a,9,"text-sm md:text-[15px] font-black text-sdp-theme-accent-primary hover:underline transition-opacity text-center"
Towns.jsx,div,6,"col-span-full py-20 text-center opacity-50 font-black uppercase tracking-widest"
Towns.jsx,p,7,""
Towns.jsx,button,7,""
Towns.jsx,div,4,"events-container"
Towns.jsx,div,5,"calendar-widget-wrapper mb-6 bg-theme-panel p-4 md:p-6 rounded-[28px] border border-white/5 shadow-sm"
Towns.jsx,div,6,"flex items-center justify-between mb-6 px-2"
Towns.jsx,button,7,"p-3 hover:bg-gray-100 dark:hover:bg-white/5 rounded-full transition-colors"
Towns.jsx,ChevronLeft,8,""
Towns.jsx,span,7,"font-black tracking-widest text-base md:text-[18px]"
Towns.jsx,button,7,"p-3 hover:bg-gray-100 dark:hover:bg-white/5 rounded-full transition-colors"
Towns.jsx,ChevronRight,8,""
Towns.jsx,div,6,"grid grid-cols-7 gap-1 md:gap-2 text-center mb-3"
Towns.jsx,div,7,"text-xs md:text-[14px] font-black opacity-50 mb-2"
Towns.jsx,div,6,"grid grid-cols-7 gap-1 md:gap-2 text-center"
Towns.jsx,div,7,"p-2 md:p-3"
Towns.jsx,button,7,"relative flex flex-col items-center justify-center p-2 h-12 w-full sm:h-14 rounded-[16px] text-[16px] md:text-[18px] font-bold transition-all hover:scale-105 active:scale-95
                                        ${hasEvent ? 'bg-[var(--theme-accent-primary)]/10 text-[var(--theme-accent-primary)] font-black' : 'hover:bg-gray-100 dark:hover:bg-white/5'}
                                        ${isToday ? 'ring-2 ring-[var(--theme-accent-primary)] ring-offset-2 dark:ring-offset-[#111827]' : ''}"
Towns.jsx,div,8,"absolute bottom-1 w-1.5 h-1.5 rounded-full bg-sdp-theme-accent-primary"
Towns.jsx,div,5,"empty-state-full py-10 text-center opacity-50"
Towns.jsx,h3,6,""
Towns.jsx,p,6,""
Towns.jsx,UniversalGridWrapper,5,"pt-6"
Towns.jsx,UniversalGridRow,6,"pb-8"
Towns.jsx,UniversalCard,7,"event-card animate-in-up w-full"
Towns.jsx,div,8,"event-description text-sm opacity-90"
Towns.jsx,div,8,"event-tags flex gap-2 flex-wrap mt-2"
Towns.jsx,span,9,"tag-pill"
Towns.jsx,div,4,"rhizome-essences animate-in"
Towns.jsx,section,5,"essence-hero py-6 text-center border-b border-white/10 mb-8"
Towns.jsx,h2,6,"text-2xl font-black text-primary"
Towns.jsx,p,6,"opacity-70 text-sm"
Towns.jsx,UniversalGridWrapper,5,""
Towns.jsx,UniversalGridRow,6,"pb-6"
Towns.jsx,UniversalCard,7,"essence-card w-full"
